booking_id,user_id,table_id,booking_date,time_slot,party_size,occasion,duration_minutes,status,special_requests,is_repeat_customer,booking_advance_days,total_spent,created_at
B000001,U0990,T045,2023-08-04,Lunch,4,Celebration,72,Completed,False,False,25,650.55,2023-07-24
B000002,U0040,T042,2023-12-27,Early Dinner,4,Romantic,114,Completed,False,False,9,693.05,2023-12-22
B000003,U0745,T043,2024-05-16,Early Dinner,4,Business,148,Completed,True,False,6,50.0,2024-04-21
B000004,U0765,T010,2024-04-08,Late Dinner,4,Romantic,165,Completed,False,True,28,536.77,2024-03-20
B000005,U0819,T029,2023-12-02,Lunch,2,Family,92,Completed,False,True,23,343.46,2023-11-25
B000006,U0586,T042,2024-01-14,Prime Dinner,4,Family,159,Completed,True,False,0,630.93,2024-01-11
B000007,U0703,T003,2023-11-13,Early Dinner,2,Celebration,127,Completed,False,False,13,431.75,2023-10-23
B000008,U0269,T018,2023-12-10,Late Dinner,6,Casual,217,Completed,False,False,10,974.41,2023-11-21
B000009,U0740,T038,2023-01-17,Lunch,2,Friends,60,Completed,False,True,14,245.7,2022-12-27
B000010,U0884,T008,2024-07-23,Lunch,4,Friends,77,Completed,False,False,5,859.93,2024-06-28
B000011,U0105,T036,2023-10-28,Early Dinner,2,Romantic,84,Completed,False,False,26,172.92,2023-10-23
B000012,U0375,T029,2023-08-22,Early Dinner,2,Celebration,95,Cancelled,False,False,12,375.88,2023-08-16
B000013,U0677,T039,2024-04-18,Lunch,4,Friends,106,Completed,False,False,20,662.26,2024-03-26
B000014,U0490,T014,2023-12-19,Early Dinner,2,Business,127,Completed,False,False,12,348.62,2023-12-03
B000015,U0184,T032,2024-04-07,Lunch,4,Casual,101,Completed,True,True,11,439.2,2024-03-19
B000016,U0343,T002,2024-12-27,Prime Dinner,2,Celebration,186,Completed,False,True,6,264.98,2024-12-25
B000017,U0207,T039,2024-04-07,Lunch,2,Casual,139,Completed,False,False,28,262.27,2024-03-29
B000018,U0651,T042,2024-01-24,Late Dinner,2,Romantic,197,No-show,True,True,5,462.15,2024-01-05
B000019,U0120,T004,2024-11-18,Late Dinner,2,Friends,215,Completed,False,False,20,304.89,2024-10-24
B000020,U0368,T041,2024-07-11,Late Dinner,4,Casual,186,Completed,False,False,5,451.98,2024-07-06
B000021,U0697,T039,2023-10-09,Prime Dinner,2,Romantic,131,Completed,False,False,23,394.42,2023-09-26
B000022,U0903,T006,2024-05-02,Prime Dinner,2,Family,122,Completed,True,False,6,378.89,2024-04-15
B000023,U0398,T044,2024-09-24,Early Dinner,2,Friends,61,Cancelled,False,True,29,344.3,2024-09-18
B000024,U0262,T041,2023-09-29,Prime Dinner,6,Family,183,Completed,False,True,15,815.66,2023-09-01
B000025,U0003,T016,2024-07-10,Late Dinner,4,Business,139,Completed,False,False,17,412.48,2024-07-08
B000026,U0049,T044,2023-07-30,Lunch,2,Business,91,Completed,False,False,14,440.38,2023-07-26
B000027,U0536,T035,2024-06-08,Early Dinner,2,Family,88,Completed,False,False,19,304.0,2024-06-04
B000028,U0456,T014,2024-02-22,Prime Dinner,6,Family,149,Completed,False,False,19,1060.58,2024-02-21
B000029,U0632,T018,2023-03-10,Early Dinner,4,Friends,148,Completed,True,False,26,304.85,2023-03-05
B000030,U0051,T020,2024-02-21,Early Dinner,2,Friends,157,Completed,False,False,8,375.54,2024-02-10
B000031,U0718,T018,2023-10-14,Early Dinner,4,Family,75,Completed,False,False,10,423.81,2023-10-08
B000032,U0535,T045,2024-09-25,Prime Dinner,4,Romantic,134,Completed,False,False,27,737.6,2024-09-07
B000033,U0465,T007,2023-09-08,Late Dinner,4,Friends,178,Completed,False,True,18,733.32,2023-09-06
B000034,U0050,T023,2023-05-26,Early Dinner,2,Family,129,Completed,False,False,16,324.72,2023-05-09
B000035,U0236,T042,2024-06-02,Early Dinner,4,Business,113,Completed,False,False,13,599.29,2024-05-17
B000036,U0741,T024,2024-06-24,Lunch,2,Business,85,Completed,False,True,7,266.64,2024-06-07
B000037,U0786,T037,2023-08-08,Prime Dinner,4,Business,91,Completed,False,False,6,470.7,2023-07-30
B000038,U0580,T034,2024-09-27,Early Dinner,2,Romantic,82,Cancelled,False,True,22,480.78,2024-09-08
B000039,U0620,T015,2023-04-27,Lunch,2,Celebration,76,Completed,False,False,0,312.87,2023-04-19
B000040,U0891,T006,2024-06-29,Lunch,4,Celebration,88,Cancelled,False,True,5,559.89,2024-06-26
B000041,U0178,T011,2023-01-23,Early Dinner,4,Romantic,79,Completed,True,True,1,519.41,2023-01-20
B000042,U0791,T027,2023-05-20,Late Dinner,6,Romantic,199,Completed,False,False,6,669.13,2023-05-09
