interaction_id,user_id,table_id,interaction_type,timestamp,rating,session_duration_seconds,device_type,source
I000001,U0935,T048,view,2024-12-06 00:00:00,,64.5960005982684,mobile,search
I000002,U0157,T042,favorite,2024-04-02 00:00:00,,,desktop,recommendation
I000003,U0783,T048,view,2023-06-21 00:00:00,,23.89768048157868,desktop,search
I000004,U0014,T027,share,2023-03-14 00:00:00,,,mobile,direct
I000005,U0473,T008,share,2024-05-10 00:00:00,,,mobile,recommendation
I000006,U0582,T002,inquiry,2023-02-13 00:00:00,,,mobile,recommendation
I000007,U0657,T036,view,2023-02-17 00:00:00,,358.05433128898903,mobile,recommendation
I000008,U0376,T006,inquiry,2023-04-23 00:00:00,,,tablet,recommendation
I000009,U0459,T019,view,2023-02-27 00:00:00,,206.64947264216045,desktop,direct
I000010,U0163,T039,inquiry,2023-01-20 00:00:00,,,tablet,direct
I000011,U0342,T017,view,2024-05-11 00:00:00,,63.89411927284276,desktop,browse
I000012,U0982,T021,rating,2023-11-07 00:00:00,2.5,,desktop,search
I000013,U0306,T038,view,2024-05-11 00:00:00,,77.35593734264414,tablet,search
I000014,U0941,T036,inquiry,2024-05-30 00:00:00,,,mobile,recommendation
I000015,U0591,T036,view,2023-01-28 00:00:00,,104.30053357080062,mobile,search
I000016,U0193,T049,view,2023-07-23 00:00:00,,25.442785200295035,desktop,direct
I000017,U0025,T030,inquiry,2023-09-28 00:00:00,,,desktop,search
I000018,U0372,T026,inquiry,2024-07-21 00:00:00,,,desktop,browse
I000019,U0528,T012,view,2024-03-09 00:00:00,,346.78675995080977,mobile,recommendation
I000020,U0552,T023,inquiry,2023-06-12 00:00:00,,,tablet,recommendation
I000021,U0646,T050,share,2023-08-08 00:00:00,,,desktop,search
I000022,U0934,T050,inquiry,2024-04-28 00:00:00,,,mobile,search
I000023,U0995,T024,favorite,2024-07-28 00:00:00,,,desktop,search
I000024,U0326,T011,rating,2024-07-15 00:00:00,5.0,,mobile,recommendation
I000025,U0940,T035,inquiry,2024-03-19 00:00:00,,,desktop,recommendation
I000026,U0139,T044,favorite,2023-12-14 00:00:00,,,tablet,search
I000027,U0081,T041,view,2024-07-04 00:00:00,,136.0935547632116,mobile,search
I000028,U0596,T035,inquiry,2023-01-29 00:00:00,,,mobile,recommendation
I000029,U0939,T011,view,2024-04-14 00:00:00,,189.4928453891617,mobile,browse
I000030,U0599,T048,view,2024-05-17 00:00:00,,120.28501611821868,mobile,recommendation
I000031,U0132,T040,view,2024-06-23 00:00:00,,107.92190225962028,mobile,search
I000032,U0427,T040,view,2024-05-03 00:00:00,,256.9602149382061,mobile,recommendation
I000033,U0044,T042,view,2023-02-23 00:00:00,,277.46271839476987,desktop,browse
I000034,U0334,T003,view,2024-08-31 00:00:00,,156.95848779427138,mobile,search
I000035,U0599,T023,view,2023-01-01 00:00:00,,350.5047051437053,tablet,browse
I000036,U0164,T037,share,2024-08-16 00:00:00,,,mobile,recommendation
I000037,U0467,T046,inquiry,2024-08-03 00:00:00,,,tablet,direct
I000038,U0015,T003,view,2023-04-13 00:00:00,,285.7028080699723,tablet,browse
I000039,U0390,T007,view,2024-03-31 00:00:00,,17.59143577315822,mobile,browse
I000040,U0267,T034,favorite,2024-09-16 00:00:00,,,mobile,browse
I000041,U0153,T012,inquiry,2023-06-25 00:00:00,,,mobile,search
I000042,U0240,T035,favorite,2023-07-18 00:00:00,,,mobile,browse
I000043,U0313,T016,favorite,2023-05-04 00:00:00,,,mobile,search
I000044,U0858,T002,view,2024-08-31 00:00:00,,18.269145366892232,mobile,recommendation
I000045,U0447,T033,view,2023-09-02 00:00:00,,17.44944607926652,mobile,recommendation
I000046,U0528,T038,inquiry,2024-07-04 00:00:00,,,desktop,search
I000047,U0541,T024,view,2023-10-11 00:00:00,,303.48404875630865,mobile,recommendation
I000048,U0106,T036,view,2023-04-17 00:00:00,,290.64719534375894,desktop,search
I000049,U0388,T009,view,2023-10-10 00:00:00,,44.809525911544235,desktop,recommendation
I000050,U0004,T046,view,2024-07-16 00:00:00,,142.0705379014842,desktop,browse
I000051,U0731,T014,favorite,2024-08-20 00:00:00,,,desktop,search
I000052,U0083,T018,favorite,2024-04-24 00:00:00,,,desktop,direct
I000053,U0014,T020,view,2024-12-11 00:00:00,,97.44641076952657,mobile,recommendation
I000054,U0907,T022,view,2023-06-10 00:00:00,,17.327118651224183,desktop,browse
I000055,U0190,T041,inquiry,2024-10-06 00:00:00,,,desktop,search
I000056,U0554,T028,inquiry,2023-02-08 00:00:00,,,mobile,browse
I000057,U0202,T018,view,2024-07-23 00:00:00,,76.77683279067068,mobile,recommendation
I000058,U0702,T018,view,2024-10-06 00:00:00,,3.9758724600582913,mobile,search
I000059,U0015,T046,view,2024-07-18 00:00:00,,573.2952909822359,mobile,search
I000060,U0721,T011,share,2023-02-07 00:00:00,,,desktop,recommendation
I000061,U0380,T034,view,2023-12-02 00:00:00,,32.954259832444556,mobile,browse
I000062,U0349,T026,view,2023-06-02 00:00:00,,145.6332928201394,mobile,recommendation
I000063,U0031,T001,inquiry,2024-11-11 00:00:00,,,mobile,recommendation
I000064,U0807,T040,view,2023-01-25 00:00:00,,231.8380149978317,mobile,search
I000065,U0587,T008,view,2024-01-19 00:00:00,,16.44252571160276,desktop,direct
I000066,U0141,T028,view,2023-10-18 00:00:00,,56.576059095611086,desktop,recommendation
I000067,U0401,T041,rating,2024-11-28 00:00:00,5.0,,mobile,browse
I000068,U0424,T023,inquiry,2024-10-16 00:00:00,,,desktop,search
I000069,U0198,T036,view,2023-11-30 00:00:00,,346.13761442569125,mobile,search
I000070,U0285,T011,favorite,2023-04-02 00:00:00,,,mobile,search
I000071,U0497,T030,view,2023-07-21 00:00:00,,55.34259495799632,mobile,direct
I000072,U0694,T008,inquiry,2023-08-11 00:00:00,,,desktop,browse
I000073,U0077,T034,view,2023-08-07 00:00:00,,105.0073998974588,mobile,browse
I000074,U0875,T023,view,2024-06-03 00:00:00,,38.14979882696544,mobile,recommendation
I000075,U0070,T031,view,2024-08-23 00:00:00,,6.782325088021421,mobile,search
I000076,U0350,T022,view,2024-05-27 00:00:00,,82.12319891134533,desktop,recommendation
I000077,U0878,T028,view,2024-02-04 00:00:00,,83.834647001662,mobile,search
I000078,U0947,T049,rating,2023-03-27 00:00:00,4.7,,mobile,search
I000079,U0159,T047,view,2024-12-20 00:00:00,,86.70652880613031,tablet,recommendation
I000080,U0462,T004,view,2023-12-03 00:00:00,,47.06449922247625,mobile,recommendation
